Country Name,Country Code,Year,"GDP per capita, PPP (constant 2011 international $)","Agriculture, forestry, and fishing, value added (% of GDP)",Rural population (% of total population),Rural population growth (annual %),Urban population (% of total),Urban population growth (annual %),Agricultural land (% of land area),Arable land (% of land area),Forest area (% of land area),"Agriculture, forestry, and fishing, value added per worker (constant 2010 US$)",Cereal yield (kg per hectare),"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)","Agriculture, forestry, and fishing, value added (annual % growth)",GDP growth (annual %),"GDP, PPP (constant 2011 international $)",Land under cereal production (hectares),Permanent cropland (% of land area)
High income,HIC,2009,38280.57313,1.296874345,19.97966877,-0.623750071,80.02033123,1.094595246,37.74724604,10.43458211,27.44637821,34455.44799,5261.504344,60.96896651,1.467445392,-3.425609572,4.56E+13,160092227,0.604696041
High income,HIC,2010,39286.93452,1.386843011,19.71089701,-0.68279295,80.28910299,1.009599422,37.44678961,10.34099045,27.4468595,34123.21614,5260.373412,42.06248158,-0.477904792,3.101926358,4.71E+13,154501942,0.601753364
High income,HIC,2011,39964.45137,1.467089227,19.5052899,-0.555624308,80.4947101,0.749974485,37.62099399,10.38022735,27.46913393,34928.06323,5274.78803,13.20784629,0.373127408,1.886972445,4.81E+13,156144802,0.594116585
High income,HIC,2012,40274.06792,1.416466869,19.33157671,-0.285826691,80.66842329,0.827326128,37.61250876,10.49516555,27.49343264,33939.33229,4888.897721,83.34107231,-4.219486408,1.265076346,4.88E+13,162661594,0.600596694
High income,HIC,2013,40642.5966,1.500577061,19.16279368,-0.265314236,80.83720632,0.823644083,37.27319418,10.36536552,27.51452583,37258.1024,5592.236094,108.3083452,6.969957169,1.449853238,4.96E+13,160701658,0.59318987
High income,HIC,2014,41232.47799,1.427062779,18.99516816,-0.256249572,81.00483184,0.832611573,37.53339548,10.43345606,27.53666459,38014.85338,5831.41614,52.86606571,2.4375037,1.993485737,5.06E+13,157071921,0.589242928
High income,HIC,2015,41979.59519,1.365634301,18.82291905,-0.306516847,81.17708095,0.819707687,36.40124063,10.33590277,27.55915316,38896.90822,5744.565245,77.93540425,2.224738081,2.35712744,5.18E+13,158636225,0.589099073
High income,HIC,2016,42456.89475,1.332476262,18.64931319,-0.328113441,81.35068681,0.814874034,36.50379707,10.43606272,27.57384231,39858.0946,5970.155322,NA,1.164471344,1.720725722,5.27E+13,156595698,0.582169147
High income,HIC,2017,43162.4334,NA,18.47280023,-0.415510478,81.52719977,0.754186874,NA,NA,NA,NA,6001.574999,NA,NA,2.217967638,5.39E+13,153818340,NA
Low income,LIC,2009,1669.221579,28.04400338,70.48275726,2.17951901,29.51724274,4.130849519,39.32775999,8.898304127,26.70943478,545.8560356,1371.003457,4.832977062,4.992118419,5.246034338,9.95E+11,65369739,0.851904201
Low income,LIC,2010,1743.650388,27.33069626,70.09528948,2.136272219,29.90471052,4.048991768,39.4940226,9.053557448,26.54655865,565.2117173,1379.936296,NA,4.787917013,7.251521266,1.07E+12,71503802,0.867951085
Low income,LIC,2011,1767.692287,26.76921509,69.76090219,2.161074986,30.23909781,3.798583294,39.68410553,9.212226614,26.40961859,564.2901806,1365.327396,NA,1.232266326,4.207465162,1.11E+12,69622189,0.901067995
Low income,LIC,2012,1788.474101,27.52488972,69.4480418,2.148751913,30.5519582,3.670541983,39.87328309,9.385519345,26.273155,587.4884044,1462.964216,NA,5.650774521,6.305273499,1.15E+12,73419208,0.918308676
Low income,LIC,2013,1851.248555,26.30487054,69.13092626,2.113179783,30.86907374,3.646342321,39.92861418,9.439175018,26.13668124,584.3653173,1425.319977,NA,2.016840379,5.601230084,1.22E+12,74657424,0.920486271
Low income,LIC,2014,1905.776793,25.75668806,68.79805125,2.079060363,31.20194875,3.679052234,39.9152102,9.422251313,26.00236238,599.2155423,1490.82839,NA,4.667094708,5.767302642,1.29E+12,74544643,0.921545856
