Country Name,Country Code,Year,"GDP per capita, PPP (constant 2011 international $)","Agriculture, forestry, and fishing, value added (% of GDP)",Rural population (% of total population),Rural population growth (annual %),Urban population (% of total),Urban population growth (annual %),Agricultural land (% of land area),Arable land (% of land area),Forest area (% of land area),"Agriculture, forestry, and fishing, value added per worker (constant 2010 US$)",Cereal yield (kg per hectare),"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)","Agriculture, forestry, and fishing, value added (annual % growth)",GDP growth (annual %),"GDP, PPP (constant 2011 international $)",Land under cereal production (hectares),Permanent cropland (% of land area)
East Asia & Pacific,EAS,2009,11132.19737,5.768066692,49.08056774,-1.388224522,50.91943226,2.768465174,48.69120321,9.503896519,26.14861096,2303.78662,4492.860457,34.67176664,2.541065863,1.391997593,2.44E+13,172986385,2.384412378
East Asia & Pacific,EAS,2010,11964.94786,5.621261028,48.05219316,-1.433817052,51.94780684,2.70887394,48.29681228,9.364038011,26.1620019,2416.21524,4558.222055,28.18377842,2.497650722,7.0653878,2.64E+13,174859695,2.44232622
East Asia & Pacific,EAS,2011,12610.4282,5.609105611,47.12007218,-1.28315723,52.87992782,2.475999195,48.79562024,9.542246239,26.19672308,2593.309386,4749.016213,NA,3.877001048,4.61697125,2.80E+13,174638449,2.521866222
East Asia & Pacific,EAS,2012,13242.84176,5.556963725,46.22225832,-1.237038064,53.77774168,2.390719853,48.66672057,9.535272139,26.23148699,2748.907658,4864.942689,13.69414521,3.689386072,4.682193788,2.96E+13,176932634,2.562655872
East Asia & Pacific,EAS,2013,13897.4291,5.468905148,45.33201729,-1.258753004,54.66798271,2.347022421,48.34016726,9.498264213,26.26618677,2979.806342,4898.750097,NA,3.134308444,4.749596044,3.13E+13,177104552,2.606498195
East Asia & Pacific,EAS,2014,14518.3666,5.311408759,44.44302557,-1.289707172,55.55697443,2.322091484,48.77700473,9.553501804,26.30092992,3225.909468,4954.156445,NA,3.245251458,4.127739022,3.29E+13,176171718,2.637423938
East Asia & Pacific,EAS,2015,15143.53982,5.197292218,43.55723051,-1.329446154,56.44276949,2.282338696,47.67801301,10.06929774,26.33566382,3408.333174,5016.870251,16.72859971,2.563509472,4.165562681,3.46E+13,186430316,2.655922377
East Asia & Pacific,EAS,2016,15788.50714,5.071161061,42.67506941,-1.354365194,57.32493059,2.258429291,47.78377989,10.0570086,26.35984558,3568.359535,5070.743015,NA,1.300426702,4.105199726,3.63E+13,183823372,2.655303881
East Asia & Pacific,EAS,2017,16526.36688,NA,41.80142339,-1.379882589,58.19857661,2.215675853,NA,NA,NA,NA,5123.245486,NA,4.206208244,4.55819776,3.82E+13,187981686,NA
Europe & Central Asia,ECS,2009,26380.31678,1.920045059,29.45046464,-0.265069203,70.54953536,0.698264289,29.33592922,12.32788516,37.87379422,11073.84469,3432.195639,102.5888289,0.876004921,-4.469468906,2.34E+13,156528516,0.728116701
Europe & Central Asia,ECS,2010,27058.42574,1.978565503,29.25729394,-0.269543755,70.74270606,0.663796583,29.46649828,12.19088459,37.94405755,10614.72592,3289.516787,61.34945592,-2.802327464,2.686921358,2.40E+13,141299031,0.727412644
Europe & Central Asia,ECS,2011,27793.58379,2.005163648,29.0820287,-0.352427551,70.9179713,0.496470394,29.41072867,12.20881335,37.96217964,11241.57905,3583.998496,62.84125016,5.390619117,2.444221716,2.48E+13,151462396,0.722576888
Europe & Central Asia,ECS,2012,27889.69482,1.965585173,28.90799857,-0.198481365,71.09200143,0.648722646,29.3797697,12.22419328,37.98471473,10978.5846,3278.561068,68.2162505,-3.337426839,0.31273588,2.49E+13,146967951,0.73880114
Europe & Central Asia,ECS,2013,28110.17377,1.990445104,28.73640072,-0.123903881,71.26359928,0.715014459,29.42677256,12.27465121,38.00089124,11557.60232,3651.334394,31.2153432,3.913590599,0.892846332,2.53E+13,152832438,0.730625167
Europe & Central Asia,ECS,2014,28501.53476,1.999762795,28.56476195,-0.118748748,71.43523805,0.723424483,29.39787706,12.30833671,38.02046154,12647.63037,3883.399325,52.86606571,3.954468875,1.867775452,2.57E+13,152578533,0.730746617
Europe & Central Asia,ECS,2015,28846.05902,1.997021417,28.3860536,-0.147416365,71.6139464,0.732591962,29.38559167,12.26882886,38.03917669,13008.18423,3778.063723,8.911026292,1.482973104,1.998843619,2.62E+13,152894408,0.735162573
Europe & Central Asia,ECS,2016,29241.18865,1.939864425,28.20201911,-0.182428802,71.79798089,0.72712516,29.34098639,12.42858565,38.05652352,13211.70853,3784.987168,NA,0.034532472,1.902352352,2.67E+13,154355986,0.729159518
Europe & Central Asia,ECS,2017,29949.71857,1.948993011,28.01371674,-0.255531171,71.98628326,0.678283936,NA,NA,NA,NA,3928.309163,NA,2.046670369,2.636833073,2.74E+13,150607568,NA
Latin America & Caribbean,LCN,2009,13099.88642,4.768085094,21.71962287,-0.067316657,78.28037713,1.597845898,36.93407321,8.039201831,46.98696073,5361.626098,3341.825972,7.314524798,-4.751255278,-1.875568056,7.72E+12,49266342,1.006116628
Latin America & Caribbean,LCN,2010,13713.44199,4.728321716,21.44018037,-0.092491307,78.55981963,1.570957239,37.09306031,8.214699847,46.80923138,5777.270435,3858.744598,28.01445724,7.260496399,5.848141441,8.18E+12,48541107,1.015687429
Latin America & Caribbean,LCN,2011,14164.63792,4.753651919,21.16390888,-0.120442208,78.83609112,1.539206537,37.19624327,8.329903546,46.69964853,5918.8221,3816.815755,12.14180306,2.773684068,4.390900175,8.55E+12,51135861,1.031913053
Latin America & Caribbean,LCN,2012,14400.10734,4.491174819,20.89306715,-0.132980424,79.10693285,1.509162402,37.30811448,8.394594515,46.59201574,6244.749025,3963.843593,13.83276824,-1.607085395,2.785946356,8.79E+12,52793594,1.028815628
